STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2017,,2425,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2018,,2507,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2019,,2868,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2020,,3140,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2021,,3904,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2022,,3561,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2023,,4172,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2024,,5067,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,BG,Bulgaria,2025,,6118,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,Y18-64,From 18 to 64 years,CH,Switzerland,2016,,38805,,,,,
