STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2016,,9734,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2017,,10042,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2018,,11164,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2019,,12021,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2020,,13100,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2021,,13596,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2022,,16349,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2023,,16338,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2024,,17161,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EE,Estonia,2025,,18371,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2016,,8198,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2017,,8303,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2018,,8524,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2019,,8905,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2020,,9552,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2021,,9381,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2022,,10293,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2023,,11023,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2024,,11965,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EL,Greece,2025,,13388,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2016,,15790,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2017,,16083,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2018,,16233,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2019,,16518,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2020,,17333,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2021,,17091,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2022,,18125,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2023,,19404,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2024,,20588,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,ES,Spain,2025,,21351,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,,17724,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,,17663,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,,18309,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,,18997,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2007,European Union - 27 countries (2007-2013),2016,,17857,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2007,European Union - 27 countries (2007-2013),2017,,17796,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2007,European Union - 27 countries (2007-2013),2018,,18440,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2007,European Union - 27 countries (2007-2013),2019,,19125,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2016,,17120,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2017,,17455,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2018,,17919,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2019,,18655,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2020,,19881,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2021,,19866,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2022,,20465,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2023,,21979,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2024,,23229,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU27_2020,European Union - 27 countries (from 2020),2025,,24560,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU28,European Union - 28 countries (2013-2020),2016,,17724,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU28,European Union - 28 countries (2013-2020),2017,,17663,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU28,European Union - 28 countries (2013-2020),2018,,18309,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,EU28,European Union - 28 countries (2013-2020),2019,,18997,,e,estimated,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2016,,24501,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2017,,25267,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2018,,26089,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2019,,26793,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2020,,27143,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2021,,26889,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2022,,27662,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2023,,28978,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2024,,30139,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FI,Finland,2025,,31491,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2016,,23315,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2017,,23637,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2018,,23399,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2019,,24318,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2020,,23556,,b,break in time series,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2021,,24135,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2022,,24621,,b,break in time series,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2023,,25511,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2024,,26812,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,FR,France,2025,,27452,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2016,,6446,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2017,,6872,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2018,,7311,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2019,,8076,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2020,,8567,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2021,,8840,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2022,,9781,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2023,,10835,,b,break in time series,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2024,,13535,,b,break in time series,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HR,Croatia,2025,,16354,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2016,,5238,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2017,,5496,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2018,,6166,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2019,,6313,,b,break in time series,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2020,,6864,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2021,,7296,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2022,,7709,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2023,,7937,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2024,,9195,,,,,
dataflow,ESTAT:ILC_DI08(1.0),Mean and median income by educational attainment level,A,Annual,MEAN_EI,Mean equivalised income,EUR,Euro,ED3_4,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),T,Total,Y18-64,From 18 to 64 years,HU,Hungary,2025,,9775,,,,,
